date,tic,target_date,pred_return,real_return,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha
2020-02-01,1101,2020-03-01,0.009601936,-0.0650887573964497,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1102,2020-03-01,-0.015568282,-0.1116121758737318,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1104,2020-03-01,-0.010420131,-0.1098591549295774,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1109,2020-03-01,-0.046684742,-0.0560471976401178,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1203,2020-03-01,-0.013545442,-0.0205607476635513,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1210,2020-03-01,-0.03098607,-0.083126550868486,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1215,2020-03-01,-0.043639224,-0.0498392282958198,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1216,2020-03-01,0.0076456503,-0.1038251366120219,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1219,2020-03-01,-0.010212174,0.0312499999999997,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1220,2020-03-01,0.006561628,-0.0195121951219511,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1225,2020-03-01,0.0024076665,-0.0303030303030303,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1227,2020-03-01,-0.036978826,-0.101620029455081,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1229,2020-03-01,0.025832027,-0.0197368421052632,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1231,2020-03-01,-0.014442186,-0.0498783454987835,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1232,2020-03-01,-0.020564705,-0.1065573770491802,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1233,2020-03-01,-0.003842901,-0.1194225721784777,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1234,2020-03-01,-0.0038218873,-0.0799999999999999,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1235,2020-03-01,0.020143878,0.0396475770925111,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1256,2020-03-01,-0.06087957,-0.1287128712871287,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1303,2020-03-01,-0.002074288,-0.1967694566813509,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1307,2020-03-01,-0.01779708,-0.2209567198177675,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1319,2020-03-01,-0.012278276,-0.1784338896020539,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1323,2020-03-01,0.022826768,-0.103030303030303,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1339,2020-03-01,-0.07211656,-0.2133479212253829,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1341,2020-03-01,-0.023117065,-0.022108843537415,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1402,2020-03-01,0.001169507,-0.2017699115044247,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1409,2020-03-01,0.023888942,-0.1836734693877549,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1410,2020-03-01,-0.02296152,-0.0311418685121107,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1419,2020-03-01,0.05922292,-0.107843137254902,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1434,2020-03-01,-0.013422578,-0.080597014925373,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1436,2020-03-01,-0.012138239,-0.0618556701030927,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1437,2020-03-01,0.0070633646,-0.1644444444444444,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1463,2020-03-01,0.010578332,-0.1921568627450979,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1470,2020-03-01,0.0023626476,-0.0338164251207729,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1476,2020-03-01,-0.020504102,-0.3319444444444445,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1477,2020-03-01,-0.016997151,-0.2861952861952862,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1503,2020-03-01,-0.026521003,-0.0997732426303853,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1504,2020-03-01,-0.01682443,-0.0990654205607476,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1513,2020-03-01,-0.011604033,-0.1403846153846153,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1514,2020-03-01,-0.043860983,-0.1598984771573602,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1516,2020-03-01,-0.012651257,-0.1878787878787878,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1519,2020-03-01,-0.07278132,-0.1663807890222984,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1521,2020-03-01,-0.03009778,-0.1180327868852458,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1522,2020-03-01,-0.03403359,-0.1538461538461538,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1525,2020-03-01,-0.02421974,-0.1752265861027189,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1527,2020-03-01,-0.019995537,-0.1684665226781856,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1529,2020-03-01,-0.000612908,-0.1999999999999999,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1532,2020-03-01,-0.0075842533,-0.2206896551724136,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1535,2020-03-01,-0.01383006,-0.1994091580502216,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1537,2020-03-01,0.14001326,-0.1043771043771043,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1558,2020-03-01,0.027201321,-0.0856031128404669,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1560,2020-03-01,-0.021817455,-0.1741935483870967,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1582,2020-03-01,-0.0093644755,-0.2412177985948479,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1590,2020-03-01,0.019134907,-0.063343717549325,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1603,2020-03-01,-0.012221949,0.0880626223091975,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1604,2020-03-01,0.0021367422,-0.0857908847184986,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1605,2020-03-01,0.04062354,-0.2114695340501791,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1608,2020-03-01,-0.036186937,-0.0694760820045558,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1612,2020-03-01,-0.0011238228,-0.0875621890547264,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1614,2020-03-01,-0.008097963,-0.137873754152824,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1615,2020-03-01,0.00052979443,-0.0721649484536081,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1702,2020-03-01,-0.02806809,-0.1755102040816326,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1707,2020-03-01,-0.054541804,-0.1045454545454546,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1709,2020-03-01,-0.034233093,-0.2,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1711,2020-03-01,-0.012421817,-0.1818181818181817,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1712,2020-03-01,0.0005256802,-0.0180878552971577,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1713,2020-03-01,-0.032489974,-0.0484330484330485,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1714,2020-03-01,0.024970908,-0.2108667529107375,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1717,2020-03-01,-0.02421556,-0.1632653061224489,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1720,2020-03-01,0.116811365,0.0163447251114414,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1722,2020-03-01,-0.030367754,-0.1291666666666666,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1723,2020-03-01,-0.005739682,-0.2093220338983051,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1725,2020-03-01,-0.013244246,-0.1186440677966101,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1726,2020-03-01,-0.011927017,-0.0835734870317003,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1730,2020-03-01,0.13783364,-0.2,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1731,2020-03-01,-0.03330091,-0.1758620689655173,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1733,2020-03-01,-0.029547973,-0.1364562118126273,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1737,2020-03-01,-0.007871732,-0.1017214397496087,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1762,2020-03-01,0.015445981,-0.20375,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1773,2020-03-01,-0.020693053,-0.0967056323060574,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1776,2020-03-01,0.04909418,0.0229885057471266,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1783,2020-03-01,-0.034938637,-0.2891832229580572,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1786,2020-03-01,-0.0506574,-0.2483552631578945,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1789,2020-03-01,-0.042381328,-0.0774647887323943,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1795,2020-03-01,-0.066449426,-0.3080459770114943,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1817,2020-03-01,-0.003200276,-0.1712121212121211,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1904,2020-03-01,-0.04198974,-0.1310782241014798,400,0.03,3,0.8,0.6,1.0,0.0
2020-02-01,1907,2020-03-01,-0.030079644,-0.1690647482014388,400,0.03,3,0.8,0.6,1.0,0.0
